Game ID,Move Number,Row,Col,Action,Board State,Mines Flagged,Hidden Cells,Safe,Game Outcome
4379334496,17,4,1,r,"[['(2)', '(2)', '(1)', '(1)', '-'], ['F', 'F', '(1)', '(1)', '-'], ['-', '(3)', '(1)', '(1)', '(1)'], ['-', '(2)', '(1)', '(1)', '(0)'], ['-', '-', 'F', '(1)', '(0)']]",3,6,FALSE,Ongoing
4379334496,End,,,,,,,,Win
4340619104,1,0,0,r,"[['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,25,FALSE,Ongoing
4340619104,2,0,1,r,"[['(1)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,24,FALSE,Ongoing
4340619104,3,0,2,r,"[['(1)', '(1)', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,23,FALSE,Ongoing
4340619104,4,1,0,f,"[['(1)', '(1)', '(0)', '(0)', '(0)'], ['-', '(1)', '(0)', '(0)', '(0)'], ['-', '(3)', '(1)', '(1)', '(0)'], ['-', '-', '-', '(3)', '(2)'], ['-', '-', '-', '-', '-']]",0,10,FALSE,Ongoing
4340619104,5,2,0,r,"[['(1)', '(1)', '(0)', '(0)', '(0)'], ['F', '(1)', '(0)', '(0)', '(0)'], ['-', '(3)', '(1)', '(1)', '(0)'], ['-', '-', '-', '(3)', '(2)'], ['-', '-', '-', '-', '-']]",1,9,FALSE,Ongoing
4340619104,6,4,4,f,"[['(1)', '(1)', '(0)', '(0)', '(0)'], ['F', '(1)', '(0)', '(0)', '(0)'], ['(2)', '(3)', '(1)', '(1)', '(0)'], ['-', '-', '-', '(3)', '(2)'], ['-', '-', '-', '-', '-']]",1,8,FALSE,Ongoing
4340619104,7,3,2,f,"[['(1)', '(1)', '(0)', '(0)', '(0)'], ['F', '(1)', '(0)', '(0)', '(0)'], ['(2)', '(3)', '(1)', '(1)', '(0)'], ['-', '-', '-', '(3)', '(2)'], ['-', '-', '-', '-', 'F']]",2,7,FALSE,Ongoing
4340619104,8,3,1,r,"[['(1)', '(1)', '(0)', '(0)', '(0)'], ['F', '(1)', '(0)', '(0)', '(0)'], ['(2)', '(3)', '(1)', '(1)', '(0)'], ['-', '-', 'F', '(3)', '(2)'], ['-', '-', '-', '-', 'F']]",3,6,FALSE,Ongoing
4340619104,End,,,,,,,,Win
4372109152,1,0,0,r,"[['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,25,FALSE,Ongoing
4372109152,2,0,1,r,"[['(1)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,24,FALSE,Ongoing
4372109152,3,0,2,r,"[['(1)', '(1)', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,23,FALSE,Ongoing
4372109152,4,0,3,r,"[['(1)', '(1)', '(1)', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,22,FALSE,Ongoing
4372109152,End,,,,,,,,Loss
4376991584,1,0,0,r,"[['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,25,FALSE,Ongoing
4376991584,2,0,1,r,"[['(1)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,24,FALSE,Ongoing
4376991584,3,0,2,r,"[['(1)', '(1)', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,23,FALSE,Ongoing
4376991584,4,1,0,r,"[['(1)', '(1)', '(2)', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,22,FALSE,Ongoing
4376991584,5,1,1,f,"[['(1)', '(1)', '(2)', '-', '-'], ['(2)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,21,FALSE,Ongoing
4376991584,6,1,2,r,"[['(1)', '(1)', '(2)', '-', '-'], ['(2)', 'F', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",1,20,FALSE,Ongoing
4376991584,7,2,2,r,"[['(1)', '(1)', '(2)', '-', '-'], ['(2)', 'F', '(3)', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",1,19,FALSE,Ongoing
4376991584,8,3,1,r,"[['(1)', '(1)', '(2)', '-', '-'], ['(2)', 'F', '(3)', '-', '-'], ['-', '-', '(3)', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",1,18,FALSE,Ongoing
4376991584,9,3,0,r,"[['(1)', '(1)', '(2)', '-', '-'], ['(2)', 'F', '(3)', '-', '-'], ['-', '-', '(3)', '-', '-'], ['-', '(2)', '-', '-', '-'], ['-', '-', '-', '-', '-']]",1,17,FALSE,Ongoing
4376991584,End,,,,,,,,Loss
4339816288,1,0,0,r,"[['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,25,FALSE,Ongoing
4339816288,2,0,2,f,"[['(0)', '(1)', '-', '-', '-'], ['(0)', '(1)', '(2)', '-', '-'], ['(0)', '(0)', '(1)', '-', '-'], ['(0)', '(1)', '(2)', '-', '-'], ['(0)', '(1)', '-', '-', '-']]",0,12,FALSE,Ongoing
4339816288,3,4,2,f,"[['(0)', '(1)', 'F', '-', '-'], ['(0)', '(1)', '(2)', '-', '-'], ['(0)', '(0)', '(1)', '-', '-'], ['(0)', '(1)', '(2)', '-', '-'], ['(0)', '(1)', '-', '-', '-']]",1,11,FALSE,Ongoing
4339816288,4,0,3,r,"[['(0)', '(1)', 'F', '-', '-'], ['(0)', '(1)', '(2)', '-', '-'], ['(0)', '(0)', '(1)', '-', '-'], ['(0)', '(1)', '(2)', '-', '-'], ['(0)', '(1)', 'F', '-', '-']]",2,10,FALSE,Ongoing
4339816288,5,1,3,r,"[['(0)', '(1)', 'F', '(1)', '-'], ['(0)', '(1)', '(2)', '-', '-'], ['(0)', '(0)', '(1)', '-', '-'], ['(0)', '(1)', '(2)', '-', '-'], ['(0)', '(1)', 'F', '-', '-']]",2,9,FALSE,Ongoing
4339816288,6,0,4,r,"[['(0)', '(1)', 'F', '(1)', '-'], ['(0)', '(1)', '(2)', '(2)', '-'], ['(0)', '(0)', '(1)', '-', '-'], ['(0)', '(1)', '(2)', '-', '-'], ['(0)', '(1)', 'F', '-', '-']]",2,8,FALSE,Ongoing
4339816288,7,2,3,f,"[['(0)', '(1)', 'F', '(1)', '(0)'], ['(0)', '(1)', '(2)', '(2)', '(1)'], ['(0)', '(0)', '(1)', '-', '-'], ['(0)', '(1)', '(2)', '-', '-'], ['(0)', '(1)', 'F', '-', '-']]",2,6,FALSE,Ongoing
4339816288,End,,,,,,,,Win
4335933280,1,0,0,r,"[['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,25,FALSE,Ongoing
4335933280,2,0,1,r,"[['(2)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,24,FALSE,Ongoing
4335933280,End,,,,,,,,Loss
4378023776,1,0,0,r,"[['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,25,FALSE,Ongoing
4378023776,2,0,1,r,"[['(1)', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,24,FALSE,Ongoing
4378023776,3,1,0,r,"[['(1)', '(2)', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,23,FALSE,Ongoing
4378023776,End,,,,,,,,Loss
4332017504,1,0,0,r,"[['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,25,FALSE,Ongoing
4332017504,2,2,0,f,"[['(0)', '(0)', '(0)', '(1)', '-'], ['(2)', '(3)', '(2)', '(2)', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-'], ['-', '-', '-', '-', '-']]",0,17,FALSE,Ongoing
